name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2019-01-01,11.1,6.5,8.8,11.1,4.3,7.3,4.4,73.9,0,0,0,,0,0,,17.7,319.4,1035.6,84.3,35.5,17.8,1.4,1,,2019-01-01T08:06:15,2019-01-01T16:01:50,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2019-01-02,6.6,5.1,5.8,5.2,3.1,4,0.5,68.8,0,0,0,,0,0,,12.5,359.6,1043,92.7,26,19.4,1.6,1,,2019-01-02T08:06:09,2019-01-02T16:02:54,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2019-01-03,5.6,4,5.1,5.1,3.2,4.4,-0.7,66.3,0,0,0,,0,0,,8.1,14.4,1043.2,95.3,32.1,15.2,1.3,1,,2019-01-03T08:05:59,2019-01-03T16:04:00,0.91,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2019-01-04,5,2.5,3.6,4.1,1.1,2.3,-1.4,69.8,0,0,0,,0,0,,12.1,330.9,1042.3,89,13.6,26.6,2.4,2,,2019-01-04T08:05:45,2019-01-04T16:05:09,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2019-01-05,6.1,4,5.1,4.7,1.4,3.1,0.8,73.8,0,0,0,,0,0,,14.3,309.1,1039.1,100,18.2,7.5,0.6,0,,2019-01-05T08:05:29,2019-01-05T16:06:21,0.98,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2019-01-06,10.1,5.6,7.7,10.1,4,6.5,4.2,78.5,0,0,0,,0,0,,13.1,292.6,1036.8,96.1,19.5,16.2,1.2,1,,2019-01-06T08:05:09,2019-01-06T16:07:35,0,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2019-01-07,11.1,8.1,9.6,11.1,6.1,8.8,6.6,81.7,0,0,0,,0,0,45.5,26.2,260.5,1032.3,93,26.9,14,1.4,1,,2019-01-07T08:04:45,2019-01-07T16:08:52,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2019-01-08,10,5.5,7.9,10,3.5,5.4,2,66.3,0,0,0,,0,0,48.2,22,316.1,1028.1,44.3,24.9,25.5,2.3,2,,2019-01-08T08:04:19,2019-01-08T16:10:11,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2019-01-09,6.5,3.6,4.8,3.3,0.4,1.7,0.5,73.9,0,0,0,,0,0,,19.9,346.4,1029.6,58.4,27,21.5,2,1,,2019-01-09T08:03:49,2019-01-09T16:11:32,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2019-01-10,5.7,2.6,4.1,4.1,0.1,2.2,1.4,83.1,0,0,0,,0,0,,10.8,307.9,1030.6,89,8.6,12.6,1,1,,2019-01-10T08:03:16,2019-01-10T16:12:55,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
