name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2018-01-01,8.1,6.1,7.1,5.9,2.3,3.9,3.3,76.9,4.409,100,16.67,rain,0,0,53.6,31.4,255.7,999.2,56.8,28.2,10.7,0.9,0,,2018-01-01T08:06:13,2018-01-01T16:02:05,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02,12.5,4.5,7.9,12.5,1.9,6.2,5.5,84.9,3.996,100,4.17,rain,0,0,59.4,33.1,222.4,1005.2,60.6,13.8,6.9,0.5,0,,2018-01-02T08:06:06,2018-01-02T16:03:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-01-03,11.8,7.7,9.3,11.8,2.9,6.5,3.3,66.6,5.015,100,8.33,rain,0,0,106.4,44.5,266.7,996.3,63.5,16.8,15.3,1.1,1,,2018-01-03T08:05:55,2018-01-03T16:04:17,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-01-04,12.6,6.5,8.5,12.6,3.9,6.4,5.1,80.2,8.18,100,12.5,rain,0,0,92.5,54.3,248,994.7,71.3,16.1,15.8,1.2,1,,2018-01-04T08:05:41,2018-01-04T16:05:26,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2018-01-05,9.1,3.6,6.6,6.4,2.4,4.1,3.4,80.5,2.003,100,8.33,rain,0,0,59.4,29.1,236.3,994.7,57,24,20.8,1.7,1,,2018-01-05T08:05:23,2018-01-05T16:06:39,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-01-06,6.1,2.5,4.3,4.8,-0.5,1.9,1.8,84.2,0.006,100,8.33,rain,0,0,40.7,21.1,37.6,1009.6,61,14.5,18.9,1.5,1,,2018-01-06T08:05:03,2018-01-06T16:07:54,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-01-07,6.1,2.6,3.8,1.7,-1.9,-0.6,-1,71,0,0,0,,0,0,53,29.4,51.9,1024.8,35.1,26.1,24.2,2,2,,2018-01-07T08:04:38,2018-01-07T16:09:11,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-01-08,5.5,3.3,4.7,2.4,-1,1.1,1.9,82.6,0,0,0,,0,0,44.6,21.8,79.9,1021.2,99.7,13.8,4.5,0.5,0,,2018-01-08T08:04:11,2018-01-08T16:10:30,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-01-09,7.6,4.6,5.7,5.4,1.7,3.9,4.2,89.7,0,0,0,,0,0,,13,128.8,1007.7,98.7,4.5,5.6,0.4,0,,2018-01-09T08:03:41,2018-01-09T16:11:51,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-01-10,9.5,5.6,7.7,7.9,4.6,6.1,6,89.3,0.202,100,8.33,rain,0,0,,20.2,234.4,1004.8,65.6,14.8,28.2,2.6,2,,2018-01-10T08:03:07,2018-01-10T16:13:15,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,AR120,03772099999,03770099999"
