name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2017-01-17,5.2,0.6,3.1,4.7,0.6,2.7,-1.4,73.7,0,0,0,,0,0,,8.2,133,1035.9,31.4,12.4,48.6,4.3,3,,2017-01-17T07:57:32,2017-01-17T16:24:14,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-18,5.1,-2.2,1.4,5.1,-4.7,1.1,-3.4,71.9,0,0,0,,0,0,29.5,15.1,61.8,1038.6,24.8,14.9,65.4,5.6,3,,2017-01-18T07:56:34,2017-01-18T16:25:52,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,remote,03772099999,03770099999"
london,2017-01-19,7.1,-0.4,3.4,4.9,-0.4,2.3,-0.8,74.8,0,0,0,,0,0,,12.5,42.6,1037.2,15.5,12,66.2,5.6,3,,2017-01-19T07:55:33,2017-01-19T16:27:30,0.75,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-20,7,0.6,3.4,4.1,-1.5,1.3,-1.7,70.7,0.001,100,4.17,rain,0,0,24.1,16.7,58.7,1033.4,0.5,22.3,69,5.8,3,,2017-01-20T07:54:29,2017-01-20T16:29:10,0.76,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-21,4.5,-1,1.9,2,-2.2,0,-3.3,69.9,0,0,0,,0,0,,15,94,1028,9,18.6,67.5,5.7,3,,2017-01-21T07:53:23,2017-01-21T16:30:51,0.79,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-22,6.1,-2.5,0.7,5.1,-3.4,0.4,-1.1,88.2,0,0,0,,0,0,,6.9,164,1027.2,7.5,4.8,67.4,5.7,3,,2017-01-22T07:52:14,2017-01-22T16:32:33,0.82,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-23,4.1,-2,1.3,4.1,-2.3,0.6,0.5,94.9,0.199,100,8.33,rain,0,0,,6.4,253.6,1028.2,60.1,3.1,59.2,5.1,3,,2017-01-23T07:51:03,2017-01-23T16:34:17,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-24,8.7,0.6,3.9,6.9,0.6,3.3,2.2,89.6,0.001,100,4.17,rain,0,0,,11.5,249.3,1028.1,27.6,9.6,33.5,2.9,2,,2017-01-24T07:49:49,2017-01-24T16:36:00,0.89,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-25,3.6,-0.3,1.4,3,-3,0,1.1,97.2,0.001,100,4.17,rain,0,0,35.3,11.3,125.5,1027.6,84.8,2.3,31.3,2.8,1,,2017-01-25T07:48:33,2017-01-25T16:37:45,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-26,0.5,-0.7,-0.2,-2.4,-4.6,-3.4,-2.7,82.9,0,0,0,,0,0,,13,97.1,1020.1,77,5.2,65.9,5.8,3,,2017-01-26T07:47:14,2017-01-26T16:39:31,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-27,7,-0.4,3.5,4.7,-3,0.8,1.2,84.9,0,0,0,,0,0,,17.1,121.1,1010.8,64.7,6.8,68.2,6,3,,2017-01-27T07:45:53,2017-01-27T16:41:17,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-28,9.6,5,7.5,7.2,2.2,4.9,4,78.7,0.202,100,12.5,rain,0,0,,22.7,204.6,1010.1,61.9,28,48.4,4.4,2,,2017-01-28T07:44:30,2017-01-28T16:43:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-29,9.6,2.5,6.6,7.5,0.5,4.1,5.2,90.5,4.002,100,12.5,rain,0,0,51.8,19.8,191.6,1011.8,72,17.7,43.8,3.7,3,,2017-01-29T07:43:04,2017-01-29T16:44:52,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-30,10.1,6,7.7,10.1,3.3,6.3,6.3,90.1,9,100,4.17,rain,0,0,,15.5,81.8,1010.9,94.7,9.2,30.6,2.5,1,,2017-01-30T07:41:37,2017-01-30T16:46:40,0.09,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-01-31,8.6,5.5,6.8,6.7,2,4.3,6,94.3,0.601,100,8.33,rain,0,0,,17.9,121.4,1012.9,96,4.9,21.7,2,1,,2017-01-31T07:40:07,2017-01-31T16:48:28,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-01,11,8.7,10.4,11,6.6,10.1,9.4,93.5,7.99,100,8.33,rain,0,0,,23.7,181.2,1006.6,95.4,10.5,14.3,1.2,1,,2017-02-01T07:38:35,2017-02-01T16:50:17,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-02,11.6,10,10.8,11.6,10,10.8,8.4,84.9,0.211,100,12.5,rain,0,0,55.4,27.6,179.5,997.3,85.8,15.2,28.1,2.4,1,,2017-02-02T07:37:02,2017-02-02T16:52:06,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-03,10.6,5.5,8.8,10.6,1.5,6.9,5.5,79.6,0.816,100,12.5,rain,0,0,67.5,37.2,180.5,994.9,80.6,18.3,52.7,4.5,3,,2017-02-03T07:35:26,2017-02-03T16:53:55,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-04,9,4.1,5.8,7.8,2,4.6,3.6,86.3,1.606,100,8.33,rain,0,0,,13.4,186.2,997.3,52.5,25.7,36.2,3.2,2,,2017-02-04T07:33:49,2017-02-04T16:55:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-05,6.5,4.1,5.3,4.1,1.7,3,3.5,88.5,0.207,100,12.5,rain,0,0,,16.6,32.3,1003.5,81,17.8,16.3,1.4,1,,2017-02-05T07:32:09,2017-02-05T16:57:35,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-06,8,1.1,5,6.1,1.1,3.4,2.6,84.8,0,0,0,,0,0,,17.3,165.8,1017.2,58.4,10.5,59.3,4.9,4,,2017-02-06T07:30:28,2017-02-06T16:59:25,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-07,11,5,7.5,11,1.9,6.4,4.4,82,6.204,100,8.33,rain,0,0,,15.2,270.7,1014.2,73.3,15.1,62,5.4,4,,2017-02-07T07:28:45,2017-02-07T17:01:15,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-08,6.6,3.1,4.8,6.5,0.2,2.8,1.9,81.7,0,0,0,,0,0,,13.6,20.5,1026,91.3,9.8,80.6,7,4,,2017-02-08T07:27:01,2017-02-08T17:03:05,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-09,3,2,2.4,0.5,-2.1,-0.9,-0.2,82.8,0,0,0,,0,0,,17.3,55,1027.6,97.6,9.5,64.1,5.5,3,,2017-02-09T07:25:14,2017-02-09T17:04:55,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-10,2.5,1.6,2.1,-0.7,-2.3,-1.4,0.4,88.4,0.401,100,16.67,"rain,snow",0,0,,15.9,29,1023.8,90.8,4.5,53.7,4.7,2,,2017-02-10T07:23:27,2017-02-10T17:06:45,0.48,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-11,3.1,1.1,2.1,-0.3,-2.7,-1.4,0.3,87.7,1.001,100,12.5,"rain,snow",0,0,,15.5,17.2,1022.3,91.8,5.5,55.4,4.8,2,,2017-02-11T07:21:37,2017-02-11T17:08:35,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-12,6.1,2,3.5,2.4,-1.8,-0.1,1.6,87.3,0.602,100,8.33,rain,0,0,,22.1,63.8,1022.3,97.4,4.3,68,5.7,3,,2017-02-12T07:19:47,2017-02-12T17:10:25,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-13,9.2,4.6,6.1,5.9,0.7,2.4,3,81.3,0,0,0,,0,0,48.2,26.8,83.2,1021.8,36,5.9,94.2,8.2,4,,2017-02-13T07:17:55,2017-02-13T17:12:15,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-14,11.6,4,7.4,11.6,0.9,5.5,3.5,75.9,0,0,0,,0,0,,16.3,113.3,1023.2,54.6,10.6,52.9,4.7,2,,2017-02-14T07:16:01,2017-02-14T17:14:05,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-15,11.6,7.2,9.4,11.6,4.6,8.4,7.7,88.6,1.01,100,4.17,rain,0,0,,22.5,187.4,1027.7,82.2,9.7,58.9,5.1,3,,2017-02-15T07:14:06,2017-02-15T17:15:54,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-16,11.6,6.5,8.8,11.6,4.5,7.5,5.9,82.4,0.2,100,8.33,rain,0,0,,18.6,241.1,1029.5,73.9,20.9,69.7,6.1,4,,2017-02-16T07:12:10,2017-02-16T17:17:44,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
